date,lgd_district_name,lgd_state_name,npi_border,npi_curfew,npi_industry,npi_lockdown,npi_mask,npi_retail,npi_school,npi_surveillance,npi_temple,npi_transport,npi_cu,district,av_npi_cu,npi_cu_scale,av_npi_cu_scale,sdgroup,state
15mar2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,.25,0,0,0,1,.14285715,0,.017857144,272,andhra pradesh
16mar2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,.25,0,0,0,1,.35714287,0,.044642858,278,andhra pradesh
17mar2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,.25,0,0,0,1,.5714286,0,.071428575,284,andhra pradesh
18mar2020,anantapur,andhra pradesh,0,0,0,0,0,0,1,.375,0,0,1,1,.78571427,.125,.098214284,290,andhra pradesh
19mar2020,anantapur,andhra pradesh,0,0,0,0,0,.5,1,.5,0,0,1.5,1,1.5714285,.1875,.19642857,296,andhra pradesh
20mar2020,anantapur,andhra pradesh,0,0,0,0,0,.5,1,.5,0,0,1.5,1,2.5,.1875,.3125,302,andhra pradesh
21mar2020,anantapur,andhra pradesh,0,0,0,0,0,.5,1,.5,0,0,1.5,1,3.6428571,.1875,.45535713,308,andhra pradesh
22mar2020,anantapur,andhra pradesh,1,1,1,0,0,.5,1,.5,0,1,5.5,1,4.6428571,.6875,.58035713,314,andhra pradesh
23mar2020,anantapur,andhra pradesh,1,1,1,1,0,.5,1,.5,0,1,6.5,1,5.5714288,.8125,.6964286,320,andhra pradesh
24mar2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.5,1,1,8,1,6.5,1,.8125,326,andhra pradesh
25mar2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.625,1,1,8,1,7.4285712,1,.9285714,332,andhra pradesh
26mar2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.625,1,1,8,1,7.7857141,1,.97321427,338,andhra pradesh
27mar2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.75,1,1,8,1,8,1,1,344,andhra pradesh
28mar2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.75,1,1,8,1,8,1,1,350,andhra pradesh
29mar2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.875,1,1,8,1,8,1,1,356,andhra pradesh
30mar2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.875,1,1,8,1,8,1,1,362,andhra pradesh
31mar2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.875,1,1,8,1,8,1,1,368,andhra pradesh
01apr2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.875,1,1,8,1,8,1,1,374,andhra pradesh
02apr2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.875,1,1,8,1,8,1,1,380,andhra pradesh
03apr2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.875,1,1,8,1,8,1,1,386,andhra pradesh
04apr2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.875,1,1,8,1,8,1,1,392,andhra pradesh
05apr2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.875,1,1,8,1,8,1,1,398,andhra pradesh
06apr2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.875,1,1,8,1,8,1,1,404,andhra pradesh
07apr2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.875,1,1,8,1,8,1,1,410,andhra pradesh
